institute code,institute name,branch code,course name,status,university,category,rank,percentile,gender,quota,category(1),branch,year,cap round
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,Autonomous Institute,GOPENS,37591,88.9550679,G,S,OPEN,B.Tech,2025,1
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,Autonomous Institute,GSCS,58518,82.3322294,G,S,SC,B.Tech,2025,1
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,Autonomous Institute,GSTS,94334,69.4936445,G,S,ST,B.Tech,2025,1
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,Autonomous Institute,GVJS,44057,86.9194446,G,S,VJ,B.Tech,2025,1
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,Autonomous Institute,GNT1S,48422,85.5729148,G,S,NT1,B.Tech,2025,1
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,Autonomous Institute,GNT2S,41549,87.6872170,G,S,NT2,B.Tech,2025,1
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,Autonomous Institute,GNT3S,50563,84.8736599,G,S,NT3,B.Tech,2025,1
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,Autonomous Institute,GOBCS,44130,86.9194446,G,S,OBC,B.Tech,2025,1
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,Autonomous Institute,GSEBCS,62247,81.1295102,G,S,SEBC,B.Tech,2025,1
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,Autonomous Institute,LOPENS,30071,91.1459607,L,S,OPEN,B.Tech,2025,1
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,Autonomous Institute,LSCS,45170,86.6223776,L,S,SC,B.Tech,2025,1
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,Autonomous Institute,LSTS,49208,85.2215842,L,S,ST,B.Tech,2025,1
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,Autonomous Institute,LVJS,66707,79.6986029,L,S,VJ,B.Tech,2025,1
